iter	Passed	Remaining
463	753	870
464	754	868
465	756	866
466	757	864
467	758	862
468	759	860
469	761	858
470	762	856
471	763	854
472	764	852
473	765	849
474	766	847
475	768	845
476	769	843
477	770	841
478	771	839
479	772	837
480	773	835
481	774	832
482	776	831
483	777	828
484	778	826
485	779	824
486	780	822
487	781	820
488	783	818
489	784	816
490	785	814
491	786	812
492	787	809
493	788	807
494	789	805
495	791	803
496	792	801
497	793	799
498	794	797
499	795	795
500	796	793
501	797	791
502	798	789
503	800	787
504	801	785
505	802	783
506	804	781
507	805	780
508	807	778
509	808	776
510	809	774
511	810	772
512	811	770
513	813	768
514	814	766
515	815	764
516	816	762
517	817	760
518	818	758
519	819	756
520	821	755
521	822	753
522	823	751
523	824	749
524	826	747
525	827	745
526	828	743
527	829	741
528	830	739
529	831	737
530	832	735
531	834	733
532	835	732
533	837	730
534	838	729
535	840	727
536	841	725
537	842	723
538	843	721
539	844	719
540	846	717
541	847	716
542	849	714
543	850	712
544	852	711
545	853	709
546	854	708
547	856	706
548	857	704
549	858	702
550	860	700
551	861	699
552	862	697
553	864	695
554	865	693
555	866	692
556	867	690
557	869	688
558	870	686
559	871	684
560	872	682
561	874	681
562	875	679
563	876	677
564	878	676
565	880	674
566	881	672
567	882	671
568	883	669
569	884	667
570	885	665
571	886	663
572	887	661
573	889	659
574	890	658
575	891	656
576	893	654
577	894	652
578	895	651
579	896	649
580	897	647
581	898	645
582	900	643
583	901	642
584	902	640
585	903	638
586	904	636
587	906	634
588	907	633
589	908	631
590	910	629
591	911	628
592	912	626
593	913	624
594	915	622
595	916	621
596	917	619
597	918	617
598	920	616
599	921	614
600	922	612
601	924	610
602	925	609
603	926	607
604	928	606
605	929	604
606	930	602
607	932	600
608	933	599
609	934	597
610	936	596
611	938	595
612	940	593
613	941	591
614	942	590
615	944	588
616	945	586
617	946	585
618	947	583
619	949	581
620	950	580
621	952	578
622	953	576
623	954	575
624	956	573
625	957	572
626	959	570
627	960	569
628	961	567
629	963	565
630	964	564
631	966	562
632	967	561
633	969	559
634	970	557
635	971	556
636	973	554
637	974	553
638	975	551
639	977	549
640	979	548
641	981	547
642	982	545
643	983	543
644	985	542
645	986	540
646	987	538
647	989	537
648	990	535
649	991	533
650	993	532
651	994	530
652	995	529
653	997	527
654	998	525
655	999	524
656	1001	522
657	1002	521
658	1003	519
659	1004	517
660	1006	516
661	1007	514
662	1009	512
663	1010	511
664	1011	509
665	1013	508
666	1014	506
667	1015	504
668	1017	503
669	1018	501
670	1019	500
671	1021	498
672	1022	496
673	1023	495
674	1025	493
675	1026	491
676	1027	490
677	1028	488
678	1030	486
679	1031	485
680	1032	483
681	1033	482
682	1035	480
683	1037	479
684	1039	477
685	1040	476
686	1042	474
687	1043	473
688	1045	471
689	1046	470
690	1047	468
691	1049	466
692	1050	465
693	1051	463
694	1053	462
695	1056	461
696	1057	459
697	1059	458
698	1060	456
699	1061	455
700	1063	453
701	1064	451
702	1066	450
703	1067	448
704	1069	447
705	1070	445
706	1071	444
707	1073	442
708	1074	441
709	1075	439
710	1077	437
711	1079	436
712	1081	435
713	1083	433
714	1084	432
715	1086	430
716	1087	429
717	1088	427
718	1090	426
719	1092	424
720	1093	423
721	1094	421
722	1096	420
723	1097	418
724	1100	417
725	1101	415
726	1102	414
727	1103	412
728	1105	410
729	1106	409
730	1107	407
731	1109	406
732	1110	404
733	1112	403
734	1113	401
735	1114	399
736	1116	398
737	1117	396
738	1118	395
739	1119	393
740	1120	391
741	1122	390
742	1123	388
743	1125	387
744	1126	385
745	1127	384
746	1129	382
747	1130	380
748	1132	379
749	1133	377
750	1134	376
751	1136	374
752	1138	373
753	1139	371
754	1141	370
755	1142	368
756	1144	367
757	1145	365
758	1147	364
759	1148	362
760	1150	361
761	1151	359
762	1153	358
763	1155	356
764	1156	355
765	1157	353
766	1159	352
767	1160	350
768	1161	348
769	1163	347
770	1164	345
771	1166	344
772	1168	343
773	1169	341
774	1170	339
775	1171	338
776	1173	336
777	1174	335
778	1175	333
779	1177	332
780	1178	330
781	1179	328
782	1181	327
783	1182	325
784	1184	324
785	1185	322
786	1187	321
787	1188	319
788	1189	318
789	1191	316
790	1192	315
791	1193	313
792	1195	311
793	1196	310
794	1197	308
795	1198	307
796	1200	305
797	1201	304
798	1202	302
799	1203	300
800	1205	299
801	1206	297
802	1207	296
803	1208	294
804	1209	292
805	1210	291
806	1212	289
807	1213	288
808	1214	286
809	1215	285
810	1217	283
811	1218	282
812	1219	280
813	1220	278
814	1221	277
815	1223	275
816	1224	274
817	1225	272
818	1226	271
819	1228	269
820	1229	268
821	1230	266
822	1232	264
823	1233	263
824	1234	261
825	1235	260
826	1236	258
827	1237	257
828	1239	255
829	1240	254
830	1241	252
831	1243	250
832	1244	249
833	1245	247
834	1246	246
835	1247	244
836	1249	243
837	1250	241
838	1251	240
839	1252	238
840	1253	237
841	1255	235
842	1256	233
843	1257	232
844	1258	230
845	1259	229
846	1261	227
847	1262	226
848	1263	224
849	1265	223
